Unit Code,Unit Title,Dept,Value,Link code,Instance
I00506,R2231PTC | Professional Doctorate Business Administration (DBA) | Year 5 | Semes,SMI,0,I00506,Sem1
I00506,R2231PTC | Professional Doctorate Business Administration (DBA) | Year 5 | Semes,SMI,0,I00506,Sem2
I00507,C1582FTC | FdA Early Years Care and Education (Full Time) | Year 1 | Semester 1,SELL,0,I00507,Sem1
I00507,C1582FTC | FdA Early Years Care and Education (Full Time) | Year 1 | Semester 1,SELL,0,I00507,Sem2
I00507,U2639PYC | BEng (Hons) Innovation Engineering | Year 3 | Semester 1,SMDE,0,I00507,Sem1
I00507,U2639PYC | BEng (Hons) Innovation Engineering | Year 3 | Semester 1,SMDE,0,I00507,Sem2
I00508,C1582FTC | FdA Early Years Care and Education (Full Time) | Year 2 | Semester 1,SELL,0,I00508,Sem1
I00508,C1582FTC | FdA Early Years Care and Education (Full Time) | Year 2 | Semester 1,SELL,0,I00508,Sem2
I00508,U2663PTC | BN (Hons) Nursing (Adult) | Year 4 | Semester 1,SHCP,0,I00508,Sem1
I00508,U2663PTC | BN (Hons) Nursing (Adult) | Year 4 | Semester 1,SHCP,0,I00508,Sem2
I00509,C1694FTC | FdA Learning Support (Full Time) | Year 1 | Semester 1,SELL,0,I00509,Sem1
I00509,C1694FTC | FdA Learning Support (Full Time) | Year 1 | Semester 1,SELL,0,I00509,Sem2
I00509,U2663PTC | BN (Hons) Nursing (Adult) | Year 5 | Semester 1,SHCP,0,I00509,Sem1
I00509,U2663PTC | BN (Hons) Nursing (Adult) | Year 5 | Semester 1,SHCP,0,I00509,Sem2
I00510,C1694FTC | FdA Learning Support (Full Time) | Year 2 | Semester 1,SELL,0,I00510,Sem1
I00510,C1694FTC | FdA Learning Support (Full Time) | Year 2 | Semester 1,SELL,0,I00510,Sem2
I00510,U2898PTC | BN (Hons) Nursing (Mental Health) | Year 4 | Semester 1,SHCP,0,I00510,Sem1
I00510,U2898PTC | BN (Hons) Nursing (Mental Health) | Year 4 | Semester 1,SHCP,0,I00510,Sem2
I00511,C3420FTC | FdSc Computing | Year 1 | Semester 1,COMP,0,I00511,Sem1
I00511,C3420FTC | FdSc Computing | Year 1 | Semester 1,COMP,0,I00511,Sem2
I00511,U2898PTC | BN (Hons) Nursing (Mental Health) | Year 5 | Semester 1,SHCP,0,I00511,Sem1
I00511,U2898PTC | BN (Hons) Nursing (Mental Health) | Year 5 | Semester 1,SHCP,0,I00511,Sem2
I00512,C3420FTC | FdSc Computing | Year 2 | Semester 1,COMP,0,I00512,Sem1
I00512,C3420FTC | FdSc Computing | Year 2 | Semester 1,COMP,0,I00512,Sem2
I00512,U3066FTC | BA (Hons) Language Studies | Year 2 | Semester 1,SELL,0,I00512,Sem1
I00512,U3066FTC | BA (Hons) Language Studies | Year 2 | Semester 1,SELL,0,I00512,Sem2
I00513,C2942PTC | HNC Construction | Year 1 | Semester 1,SCES,0,I00513,Sem1
I00513,C2942PTC | HNC Construction | Year 1 | Semester 1,SCES,0,I00513,Sem2
I00513,U3066FTC | BA (Hons) Language Studies | Year 3 | Semester 1,SELL,0,I00513,Sem1
I00513,U3066FTC | BA (Hons) Language Studies | Year 3 | Semester 1,SELL,0,I00513,Sem2
I00514,C2942PTC | HNC Construction | Year 2 | Semester 1,SCES,0,I00514,Sem1
I00514,C2942PTC | HNC Construction | Year 2 | Semester 1,SCES,0,I00514,Sem2
I00514,U3091PYC | BEng (Hons) Electrical & Renew Energy Engineering | Year 2 | Semester,SENE,0,I00514,Sem1
I00514,U3091PYC | BEng (Hons) Electrical & Renew Energy Engineering | Year 2 | Semester,SENE,0,I00514,Sem2
I00515,U3091PYC | BEng (Hons) Electrical & Renew Energy Engineering | Year 3 | Semester,SENE,0,I00515,Sem1
I00515,U3091PYC | BEng (Hons) Electrical & Renew Energy Engineering | Year 3 | Semester,SENE,0,I00515,Sem2
I00515,C2902PTC | HNC Electrical and Electronic Engineering | Year 1 | Semester 1,SMDE,0,I00515,Sem1
I00515,C2902PTC | HNC Electrical and Electronic Engineering | Year 1 | Semester 1,SMDE,0,I00515,Sem2
I00516,U3066FTC | BA (Hons) Language Studies | Year 2 | Semester 1,SELL,0,I00516,Sem1
I00516,U3066FTC | BA (Hons) Language Studies | Year 2 | Semester 1,SELL,0,I00516,Sem2
I00516,C2902PTC | HNC Electrical and Electronic Engineering | Year 2 | Semester 1,SMDE,0,I00516,Sem1
I00516,C2902PTC | HNC Electrical and Electronic Engineering | Year 2 | Semester 1,SMDE,0,I00516,Sem2
I00517,C3262FTC | HNC Illustration | Year 1 | Semester 1,ADP,0,I00517,Sem1
I00517,C3262FTC | HNC Illustration | Year 1 | Semester 1,ADP,0,I00517,Sem2
I00518,U3066FTC | BA (Hons) Language Studies | Year 3 | Semester 1,SELL,0,I00518,Sem1
I00518,U3066FTC | BA (Hons) Language Studies | Year 3 | Semester 1,SELL,0,I00518,Sem2
I00518,C2901PTC | HNC Mechanical Engineering | Year 1 | Semester 1,SMDE,0,I00518,Sem1
I00518,C2901PTC | HNC Mechanical Engineering | Year 1 | Semester 1,SMDE,0,I00518,Sem2
I00519,P0054PTC | MSc information Systems | Year 1 | Semester 1,COMP,0,I00519,Sem1
I00519,P0054PTC | MSc information Systems | Year 1 | Semester 1,COMP,0,I00519,Sem2
I00519,C2901PTC | HNC Mechanical Engineering | Year 2 | Semester 1,SMDE,0,I00519,Sem1
I00519,C2901PTC | HNC Mechanical Engineering | Year 2 | Semester 1,SMDE,0,I00519,Sem2
I00520,P0054PTC | MSc information Systems | Year 2 | Semester 1,COMP,0,I00520,Sem1
I00520,P0054PTC | MSc information Systems | Year 2 | Semester 1,COMP,0,I00520,Sem2
I00520,C0496FTC | HND Business | Year 1 | Semester 1,OSP,0,I00520,Sem1
